Set,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev


totalDist=1:
1,0.785772,0.718869,-4.402409,29.118761,3.412031,1.484837
2,1.352462,0.817276,-1.132727,22.524776,5.127618,4.959191
3,2.778249,6.225899,-10.724724,56.43353,9.350544,35.410442
4,-0.22294,3.984718,18.978971,42.566574,-1.774424,12.888341
5,1.917194,0.325773,2.20124,2.443261,1.54562,2.874905
6,1.674952,1.603639,1.262166,67.010419,5.09789,17.282387
7,1.394504,0.433004,0.248624,7.333676,3.683062,3.81285
8,1.300409,5.054341,-2.652006,38.709585,4.829693,2.856612
9,1.287656,0.846709,3.291356,15.835465,2.991891,3.068781
10,1.29506,0.758909,3.820704,16.374039,1.830309,2.660769
11,-2.84232,6.46262,35.893771,59.635925,-5.390617,15.584756
12,1.450567,0.598105,6.744193,16.035201,4.000039,2.666959
13,1.032586,0.617704,5.774599,15.714767,1.657574,4.620308
14,1.472965,1.434417,-0.200768,17.938064,3.458521,5.183295
15,2.068278,1.55167,-9.675136,23.84648,6.075268,7.126931
16,1.638579,2.324612,-6.249284,25.449544,4.797562,6.378985
17,0.954207,0.646455,0.964294,20.819706,2.914967,3.042626
18,1.350349,3.63617,5.835282,38.655301,3.175805,26.503218
19,1.050174,0.800066,-3.731591,18.758768,4.055613,3.705933
20,0.432839,0.371659,1.838856,9.304238,1.61022,4.35781
21,0.806456,1.756666,2.640639,22.88835,3.882992,3.321834
22,0.248303,5.343492,7.837548,71.264583,4.867718,12.587901
23,0.603786,0.898141,2.832483,16.612869,3.03546,8.795008
24,1.928611,0.684708,-16.207733,20.955482,3.992983,1.290632
25,0.470041,0.304472,1.995294,6.845053,1.779895,3.329207
26,1.01471,0.692047,3.669851,20.25938,2.447785,3.450301
27,0.868668,0.266271,1.705383,7.818128,2.333084,2.778942
28,0.405672,0.640371,0.04108,8.410084,2.023097,3.138893
29,0.972539,0.265215,-8.873068,16.264672,7.232291,11.187974
30,0.726087,5.345189,6.329102,44.679946,-11.495748,35.825653
31,0.812575,0.351704,0.891699,9.972736,2.29267,6.207932
32,1.300768,0.398866,-4.99274,8.696402,5.541234,5.293845
33,1.202694,0.871714,-0.188419,10.737695,2.742691,5.53201
34,0.448393,0.541643,1.187153,8.490508,1.551902,4.201775
35,0.890249,0.493595,0.831122,13.620748,1.606886,8.833706
36,1.70284,2.693248,-4.856635,20.926448,2.439982,8.534351
37,0.443832,1.746898,0.478687,16.849484,1.788911,4.739343
38,1.724548,0.375938,-11.615744,36.916617,6.046108,5.727796
39,0.766543,0.587453,1.210099,8.565677,2.257029,2.578166
40,-0.434731,9.311501,8.170835,56.7346,3.232834,11.636187
41,0.9924,0.450046,-3.289004,9.146703,2.393929,6.247788
42,1.233528,4.78608,-0.21847,35.312369,4.267611,10.21386
43,2.132073,3.840437,-8.187334,31.800564,5.865681,15.425003
44,0.338733,0.250965,-1.112609,7.011032,1.802021,3.076146
45,1.570439,1.160583,1.53634,18.242559,2.893307,3.424132
46,1.995789,3.138996,-7.494954,26.867162,5.862125,11.154216
47,0.819252,0.629764,3.174346,11.354958,0.315925,7.31705
